RELAB ID	DL-CMP-023	DL-CMP-028	DL-CMP-024	DL-CMP-020	DL-CMP-021	DL-CMP-061	DL-CMP-022	DL-CMP-003	DL-CMP-026	DL-CMP-004	DL-CMP-025	DL-CMP-001	DL-CMP-064	DL-CMP-065	DL-CMP-002	DL-CMP-027
Wavelength (um)	023 - En30 Fs70	028 - En25 Fs75	024 - En17 Fs83	020 - En17 Fs83	021 - En8 Fs92	061 - Fs100	022 - En75 Fs25	003 - En75 Fs25	026 - En70 Fs30	004 - En50 Fs50	025 - En35 Fs65	001 - En100	064 - En97.5Fs2.5	065 - En90 Fs10	002 - En80 Fs20	027 - En80 Fs20
0.92	0.04529	0.05265	0.07554	0.07729	0.08413	0.05418	0.31643	0.29366	0.24999	0.13726	0.11893	0.6959	0.47296	0.44115	0.20409	0.23232
0.925	0.04516	0.05208	0.07478	0.07601	0.08323	0.05326	0.31832	0.2954	0.25133	0.13607	0.11775	0.69579	0.47662	0.44457	0.20651	0.23336
0.93	0.04473	0.05207	0.07386	0.07581	0.08206	0.05264	0.32121	0.29785	0.25335	0.13646	0.11728	0.69657	0.48262	0.44929	0.20901	0.23673
0.935	0.04451	0.05183	0.07355	0.07502	0.08154	0.05216	0.32436	0.30261	0.25645	0.1372	0.1173	0.6975	0.48936	0.45501	0.21268	0.24037
0.94	0.04434	0.05293	0.07315	0.07528	0.08129	0.05195	0.33015	0.30696	0.26029	0.13887	0.11779	0.69898	0.49754	0.46236	0.2176	0.24554
0.945	0.04477	0.05302	0.07341	0.075	0.08134	0.05197	0.33664	0.31301	0.26564	0.14077	0.11897	0.69912	0.50737	0.47159	0.2235	0.25229
0.95	0.04577	0.05349	0.07404	0.0753	0.08146	0.05202	0.34404	0.32114	0.27232	0.14405	0.12067	0.70047	0.51668	0.48136	0.2303	0.25988
0.955	0.04691	0.05465	0.07514	0.0763	0.08229	0.05214	0.3528	0.33005	0.27989	0.14758	0.12318	0.70099	0.52817	0.49206	0.23945	0.26917
0.96	0.04803	0.05508	0.07609	0.07765	0.08344	0.05284	0.3639	0.33963	0.28948	0.15296	0.12625	0.70337	0.53998	0.50362	0.24859	0.27906
0.965	0.04955	0.05681	0.07787	0.07934	0.08452	0.05359	0.3748	0.35079	0.29961	0.15804	0.13017	0.70396	0.55326	0.51732	0.25943	0.29058
0.97	0.05121	0.05823	0.07995	0.0815	0.08639	0.05475	0.38836	0.36369	0.31135	0.16496	0.13461	0.70549	0.56653	0.53085	0.27223	0.30301
0.975	0.05321	0.06063	0.08254	0.08333	0.0884	0.05565	0.40234	0.37748	0.32489	0.17239	0.14007	0.70723	0.58043	0.54571	0.28477	0.31727
0.98	0.05482	0.06273	0.08501	0.08626	0.09137	0.05722	0.41733	0.39187	0.33881	0.18118	0.14648	0.70784	0.59296	0.56009	0.30033	0.33293
0.985	0.05744	0.0654	0.08862	0.08949	0.09418	0.059	0.43317	0.40769	0.3549	0.19077	0.15311	0.70959	0.6061	0.57551	0.31569	0.3492
0.99	0.06057	0.06913	0.09274	0.09329	0.09772	0.06101	0.44915	0.42483	0.37045	0.20177	0.16152	0.71199	0.61988	0.59038	0.33255	0.36639
0.995	0.06453	0.07242	0.0977	0.09727	0.10224	0.06356	0.46571	0.44141	0.38687	0.21345	0.16936	0.7128	0.63359	0.60431	0.35074	0.38331
1	0.06909	0.07721	0.10301	0.10223	0.10684	0.06632	0.48319	0.45818	0.40456	0.22665	0.17983	0.71369	0.64514	0.61939	0.36776	0.40269
1.005	0.074	0.08215	0.10921	0.10738	0.11207	0.06978	0.49967	0.47533	0.42221	0.24143	0.1903	0.71479	0.65673	0.63257	0.3866	0.42118
1.01	0.08039	0.08688	0.1161	0.11372	0.11836	0.07368	0.51651	0.49257	0.44053	0.25566	0.20177	0.71539	0.6682	0.64616	0.40559	0.44033
1.015	0.08634	0.09329	0.12412	0.12076	0.12529	0.0778	0.53352	0.51024	0.45876	0.27206	0.2134	0.71761	0.67821	0.65914	0.42548	0.46007
1.02	0.09328	0.10014	0.13258	0.12878	0.13251	0.08315	0.54996	0.52628	0.47722	0.28803	0.22601	0.71848	0.68782	0.67169	0.44371	0.47865
1.025	0.1007	0.10807	0.14179	0.13648	0.14066	0.0882	0.56504	0.54299	0.49467	0.30483	0.23961	0.72017	0.69709	0.68241	0.46209	0.49754
1.03	0.10964	0.11531	0.15128	0.14517	0.14938	0.0946	0.58014	0.56028	0.51267	0.32259	0.25264	0.72134	0.70471	0.69338	0.48149	0.5161
